"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"2918","4","19","Common Assault","Phillipstown.",2607400,"Christchurch City.",3,"Canterbury",NA
"2919","4","19","Serious Assault Not Resulting in Injury","Pukekohe West.",821400,"Auckland.",3,"Auckland",NA
"2920","4","19","Serious Assault Not Resulting in Injury","Mangere South.",728609,"Auckland.",3,"Auckland",NA
"2921","4","19","Serious Assault Resulting in Injury","Cooks Gardens.",1697900,"Wanganui District.",3,"West Coast/ Upper-Central North",NA
"2922","4","19","Serious Assault Resulting in Injury","Kelston Central.",271700,"Auckland.",3,"Auckland",NA
"2923","4","19","Serious Assault Resulting in Injury","Titahi Bay North.",2042600,"Porirua City.",3,"Wellington/ Lower-Central North",NA
"2924","4","19","Common Assault","Belfast.",2513504,"Christchurch City.",3,"Canterbury",NA
"2925","4","19","Common Assault","Adelaide.",2148800,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"2926","4","19","Common Assault","South Dunedin.",2931900,"Dunedin City.",3,"Southland/ Otago",NA
"2927","4","19","Serious Assault Not Resulting in Injury","Auckland Central East.",438000,"Auckland.",3,"Auckland",NA
"2928","4","19","Serious Assault Not Resulting in Injury","Huntly West.",946000,"Waikato District.",3,"Waikato",NA
"2929","4","19","Serious Assault Resulting in Injury","Auckland Harbourside.",432900,"Auckland.",3,"Auckland",NA
"2930","4","19","Serious Assault Resulting in Injury","Naenae South.",1954100,"Lower Hutt City.",3,"Wellington/ Lower-Central North",NA
"2931","4","19","Common Assault","Victoria.",1236600,"Rotorua District.",3,"Bay Of Plenty",NA
"2932","4","19","Common Assault","Palmerston North Central.",1829500,"Palmerston North City.",3,"West Coast/ Upper-Central North",NA
"2933","4","19","Common Assault","Inangahua Valley.",2395400,"Buller District.",3,"Tasman/ South-West Coast",NA
"2934","4","19","Common Assault","Maraenui.",1446000,"Napier City.",3,"Hawkes Bay/ Gisborne",NA
"2935","4","19","Serious Assault Not Resulting in Injury","Otakaro Park.",3107500,"Invercargill City.",3,"Southland/ Otago",NA
"2936","4","19","Serious Assault Not Resulting in Injury","Paraparaumu Beach North.",2001102,"Kapiti Coast District.",3,"Wellington/ Lower-Central North",NA
"2937","4","19","Serious Assault Not Resulting in Injury","Mt Cook-Wallace Street.",2145200,"Wellington City.",3,"Wellington/ Lower-Central North",NA
"2938","4","19","Serious Assault Resulting in Injury","Fairdene.",231001,"Auckland.",3,"Auckland",NA
"2939","4","19","Serious Assault Resulting in Injury","Newton.",412100,"Auckland.",3,"Auckland",NA
"2940","4","19","Serious Assault Resulting in Injury","Otakaro Park.",3107600,"Invercargill City.",3,"Southland/ Otago",NA
"2941","4","19","Serious Assault Not Resulting in Injury","Pakuranga East.",687900,"Auckland.",3,"Auckland",NA
"2942","4","19","Serious Assault Resulting in Injury","Koutu.",1223800,"Rotorua District.",3,"Bay Of Plenty",NA
"2943","4","19","Common Assault","Waterview.",385803,"Auckland.",3,"Auckland",NA
"2944","4","19","Common Assault","Blenheim Central.",2299800,"Marlborough District.",3,"Tasman/ South-West Coast",NA
"2945","4","19","Common Assault","Tamaki.",632000,"Auckland.",3,"Auckland",NA
"2946","4","19","Common Assault","Auckland Harbourside.",438214,"Auckland.",3,"Auckland",NA
